CFL,0.5,,,0.9,,,1.5
T,0.5,1,1.5,0.5,1,1.5,1.5
Nx,Error,,,,,,
16,3.27E-01,5.04E-01,5.99E-01,3.32E-01,5.08E-01,6.01E-01,6.09E-01
32,1.88E-01,3.26E-01,4.27E-01,1.89E-01,3.27E-01,4.28E-01,4.30E-01
64,1.01E-01,1.88E-01,2.62E-01,1.01E-01,1.88E-01,2.62E-01,1.16E+09
128,5.25E-02,1.01E-01,1.46E-01,5.25E-02,1.01E-01,1.46E-01,1.30E+34
256,2.67E-02,5.25E-02,7.72E-02,2.67E-02,5.25E-02,7.72E-02,8.40E+84
512,1.35E-02,2.67E-02,3.97E-02,1.35E-02,2.67E-02,3.97E-02,Inf
1024,6.78E-03,1.35E-02,2.02E-02,6.78E-03,1.35E-02,2.02E-02,NaN
2048,3.40E-03,6.78E-03,1.01E-02,3.40E-03,6.78E-03,1.01E-02,NaN
4096,1.70E-03,3.40E-03,5.09E-03,1.70E-03,3.40E-03,5.09E-03,NaN
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
